SEANCE;GROUPE;CODE;VALEUR;OUVERTURE;CLOTURE;PLUS_BAS;PLUS_HAUT;QUANTITE_NEGOCIEE;NOMBRE_TRANSACTION;CAPITAUX
02/01/15;11;100010;MONOPRIX;22;22.3;22;22.35;1040;13;22925.45
02/01/15;11;110025;SFBT;22.5;22.45;22.45;22.5;4331;13;97331.5
02/01/15;11;120040;TUNISAIR;1.13;1.15;1.14;1.16;6622;12;7601.52
02/01/15;11;160015;ATTIJARIBANK;23.9;24;23.8;24;1298;11;31085.25
02/01/15;11;180045;BIAT;78;78.02;78.02;79.9;1311;9;102525.02
02/01/15;11;210090;TUNISIELEASING;21.68;21.84;21.69;21.84;250;15;5447.56
02/01/15;11;220005;BT;10.55;10.5;10.5;10.5;87;1;913.5
02/01/15;11;260095;STB;5;5;5;5;1190;2;5950
02/01/15;11;310060;BNA;7.6;7.7;7.7;7.7;400;1;3080
02/01/15;11;340005;AMENBANK;26.19;26;26;26.3;1197;15;31184
02/01/15;11;360035;ATB;4.37;4.38;4.38;4.38;580;1;2540.4
02/01/15;11;390010;UIB;14.75;14.7;14.7;14.8;545;4;8013
02/01/15;11;400005;SIMPAR;55;55;0;0;0;0;0
02/01/15;11;420085;CIL;13.39;13.38;13.38;13.38;271;1;3625.98
02/01/15;11;470010;ATL;2.7;2.67;2.67;2.7;2000;4;5341.68
02/01/15;11;570001;POULINAGPHOLDING;5.62;5.68;5.46;5.68;642;5;3518.56
02/01/15;11;606001;STAR;145.25;149;145.25;149;283;7;42155.75
02/01/15;11;653001;SOTETEL;3.45;3.33;3.38;3.48;1080;5;3657.9
02/01/15;11;656001;SOTUVER;5.28;5.26;5.26;5.5;871;5;4731.66
02/01/15;11;658001;SOTUMAG;1.76;1.8;1.8;1.8;5;1;9
02/01/15;11;659001;SIAME;2.29;2.28;2.27;2.34;1013;8;2324.68
02/01/15;11;661001;ATTIJARILEASING;26.32;26.32;0;0;0;0;0
02/01/15;11;665001;ELECTROSTAR;6.89;6.9;6.9;7.08;1301;27;9083.81
02/01/15;11;666001;SOTRAPIL;8.93;8.93;8.67;8.94;224;5;1943.91
02/01/15;11;672004;MODERNLEASING;5.28;5.42;5.25;5.42;21;3;112.46
02/01/15;11;678001;SOMOCER;2.51;2.54;2.54;2.58;3309;7;8450.05
02/01/15;11;713001;GIF-FILTER;3.38;3.34;3.34;3.4;5867;23;19713.13
02/01/15;11;714001;ASSAD;8;8.15;8;8.15;2380;9;19074.8
02/01/15;11;718001;SITS;1.98;1.99;1.95;2;3043;19;5959.05
02/01/15;11;720001;ELWIFACKLEASING;16.25;16.25;16.25;16.25;10;1;162.5
02/01/15;11;721001;ESSOUKNA;6.29;6.29;6.29;6.29;140;2;880.6
02/01/15;11;725001;ADWYA;8.18;8.18;8.15;8.18;415;2;3382.34
02/01/15;11;727001;TPR;4.3;4.34;4.29;4.34;5281;10;22706.24
02/01/15;11;729001;SOPAT;3.01;3.1;3.09;3.18;3697;20;11474.81
02/01/15;11;730001;ARTES;8;8.08;8;8.08;825;5;6600.4
02/01/15;11;731013;HANNIBALLEASE;7.72;7.95;7.95;7.95;15;1;119.25
02/01/15;11;735001;CIMENTSDEBIZERTE;6.45;6.45;0;0;0;0;0
02/01/15;11;738001;TUNISRE;9.95;10.18;9.95;10.19;5101;5;50763.24
02/01/15;11;741001;ENNAKLAUTOMOBILES;10.2;10.2;10;10.2;135;5;1357
02/01/15;11;744001;TELNETHOLDING;5.07;5.08;5.07;5.17;1904;15;9669.91
02/01/15;11;753001;ONETECHHOLDING;7;7.21;7;7.21;1246;9;8912.05
02/01/15;11;755001;CITYCARS;11.4;11.9;11.4;11.9;950;14;11227.6
02/01/15;11;757001;EURO-CYCLES;16.22;16.75;16.49;16.75;414;11;6831.74
02/01/15;11;758001;BESTLEASE;2.09;2.09;2.09;2.09;1;1;2.09
02/01/15;11;759001;CELLCOM;8.15;8.19;7.91;8.19;210;5;1663.9
02/01/15;11;761001;SAH;10.47;10.79;10.06;10.8;114;6;1193.36
02/01/15;11;762001;MPBS;7.3;7.5;7.25;7.5;633;6;4598.1
02/01/15;11;763001;SOTIPAPIER;5;5;0;0;0;0;0
